Orthogroup	PCC_6303	336-3
OG0000574	WP_051036596.1, WP_015198725.1, WP_158333122.1	WP_035150701.1
OG0000575	WP_015200932.1	WP_035150804.1
OG0000576	WP_015197494.1	WP_035150903.1
OG0000577	WP_015199740.1	WP_035151014.1
OG0000578	WP_015198673.1	WP_035151069.1, WP_052754404.1
OG0000579	WP_015197107.1, WP_015196329.1	WP_035151174.1
OG0000580	WP_144051020.1	WP_035151202.1, WP_035152749.1, WP_238178369.1
OG0000581	WP_015196997.1, WP_144051022.1	WP_035151337.1
OG0000582	WP_015197721.1	WP_035151606.1
OG0000582	WP_238993774.1	WP_035151692.1
OG0000583	WP_015196835.1	WP_035153948.1, WP_035156166.1, WP_035151701.1
OG0000584	WP_015197601.1	WP_035152000.1, WP_035155835.1
OG0000585	WP_015196105.1, WP_015198333.1	WP_035152008.1
OG0000586	WP_238993757.1, WP_015198321.1	WP_035152041.1
OG0000587	WP_015196115.1, WP_015198317.1	WP_035152051.1
OG0000589	WP_015199686.1	WP_035158892.1, WP_035152154.1
OG0000590	WP_041740016.1	WP_035153266.1
OG0000591	WP_015198920.1	WP_035152473.1
OG0000592	WP_015198386.1	WP_238178462.1, WP_035152496.1, WP_238178461.1
OG0000594	WP_015198934.1	WP_035155175.1
OG0000595	WP_015196359.1	WP_035152838.1
OG0000596	WP_015196575.1	WP_035157036.1, WP_035152969.1
OG0000597	WP_015200423.1	WP_035153235.1
OG0000598	WP_015199323.1	WP_035153298.1
OG0000599	WP_015200096.1	WP_035153361.1
OG0000600	WP_015200593.1	WP_035153411.1
OG0000601	WP_041740747.1	WP_035153636.1, WP_035157277.1
OG0000602	WP_015196792.1	WP_035153651.1
OG0000603	WP_015198858.1	WP_035153742.1
OG0000604	WP_015199638.1	WP_035153791.1
OG0000605	WP_015198756.1	WP_035153856.1
OG0000606	WP_015200159.1	WP_035154062.1
OG0000609	WP_041740850.1, WP_041740462.1, WP_015198006.1	WP_035154156.1
OG0000610	WP_015197132.1	WP_035154636.1, WP_035154208.1
OG0000611	WP_015200741.1	WP_035154257.1
OG0000612	WP_144051000.1	WP_035154266.1
OG0000613	WP_015199021.1	WP_035154393.1
OG0000614	WP_015199472.1, WP_015199265.1	WP_035154527.1
OG0000616	WP_015199163.1	WP_035154557.1
OG0000617	WP_015196690.1	WP_035154643.1
OG0000621	WP_015200307.1	WP_035155031.1
OG0000622	WP_015200970.1	WP_052754539.1, WP_035155064.1
OG0000623	WP_015196686.1	WP_035155158.1
OG0000624	WP_015196976.1	WP_035155276.1
OG0000625	WP_015199925.1	WP_035156986.1, WP_035155293.1
OG0000626	WP_015199895.1	WP_035155501.1
OG0000627	WP_015197399.1	WP_035155544.1
OG0000628	WP_015197375.1	WP_035155564.1
OG0000629	WP_015196481.1	WP_046814827.1
OG0000630	WP_015195812.1	WP_035155861.1
OG0000631	WP_015197505.1	WP_035156007.1
OG0000632	WP_015197502.1	WP_035156017.1
OG0000633	WP_015195805.1	WP_035156056.1
OG0000634	WP_015197095.1, WP_015196800.1	WP_035156064.1
OG0000635	WP_015200887.1	WP_035156128.1
OG0000635	WP_015195802.1	WP_035159375.1
OG0000636	WP_015201106.1	WP_035156263.1
OG0000637	WP_015196584.1	WP_035156361.1
OG0000638	WP_015196805.1	WP_035156380.1
OG0000639	WP_015199730.1	WP_035156498.1
OG0000640	WP_015196646.1, WP_015200254.1	WP_035156619.1
OG0000641	WP_015198718.1	WP_035156660.1
OG0000642	WP_041739246.1	WP_035156682.1
OG0000643	WP_015199457.1	WP_035156796.1
OG0000644	WP_015199088.1	WP_035156811.1
OG0000645	WP_015196908.1	WP_035156870.1
OG0000646	WP_015199928.1	WP_035157119.1
OG0000648	WP_015200077.1	WP_035157310.1
OG0000649	WP_015199862.1	WP_035157550.1
OG0000650	WP_015197361.1	WP_035157721.1
OG0000651	WP_015197654.1	WP_035157725.1
OG0000652	WP_015200957.1	WP_035157744.1
OG0000653	WP_015199526.1	WP_035157975.1
OG0000654	WP_015198539.1, WP_015173954.1	WP_035158171.1
OG0000655	WP_015197262.1	WP_035158298.1
OG0000656	WP_015196827.1	WP_035158427.1
OG0000657	WP_015196304.1	WP_035158471.1
OG0000658	WP_015200151.1	WP_035158886.1
OG0000659	WP_015200445.1	WP_035159183.1
OG0000661	WP_015198240.1	WP_035159837.1
OG0000661	WP_015196126.1	WP_052754566.1
OG0000662	WP_015198805.1	WP_046814747.1
OG0000663	WP_015195782.1	WP_201782634.1
OG0000663	WP_015198446.1	WP_046814832.1
OG0000664	WP_015200627.1	WP_052754442.1
OG0000665	WP_015200933.1	WP_082127264.1
OG0000667	WP_015195843.1	WP_144415971.1
OG0000668	WP_015199471.1, WP_015199264.1	WP_144416044.1
OG0000669	WP_015199349.1	WP_144416120.1
OG0000670	WP_015196849.1	WP_168163489.1
OG0000671	WP_015196153.1	WP_201782683.1
OG0000672	WP_015195801.1	WP_238178384.1
OG0000673	WP_015173982.1, WP_015199669.1	WP_238178432.1
OG0000675	WP_015199811.1	WP_238178486.1
OG0000676	WP_015199266.1	WP_238178540.1
OG0000677	WP_015199488.1, WP_015197837.1	WP_238178546.1
OG0000678	WP_015198062.1	WP_256388869.1
OG0000740	WP_015196215.1	WP_035148859.1
OG0000741	WP_041740866.1	WP_035148871.1
OG0000742	WP_015200910.1	WP_035148894.1
OG0000743	WP_015198448.1, WP_015196855.1	WP_035148951.1
OG0000744	WP_015198687.1	WP_035148965.1
OG0000745	WP_015198688.1	WP_035148967.1
OG0000746	WP_015198689.1	WP_035148968.1
OG0000747	WP_015198690.1	WP_035148971.1
OG0000749	WP_015197350.1	WP_035149038.1
OG0000750	WP_015196270.1, WP_015199184.1	WP_035149061.1
OG0000751	WP_015199211.1	WP_035149090.1
OG0000752	WP_238993820.1	WP_035149115.1
OG0000753	WP_015197702.1, WP_015196390.1	WP_035149116.1
OG0000755	WP_015201043.1	WP_035149179.1
OG0000756	WP_015198454.1	WP_035149269.1
OG0000757	WP_015199739.1	WP_035149294.1
OG0000758	WP_015196236.1	WP_035149310.1, WP_035155249.1
OG0000759	WP_015196238.1	WP_035149312.1
OG0000760	WP_015200598.1	WP_035153435.1, WP_035149372.1
OG0000761	WP_015196955.1	WP_035149382.1
OG0000762	WP_015196668.1	WP_035149425.1
OG0000763	WP_015198954.1	WP_035149451.1
OG0000764	WP_015200202.1	WP_035149460.1
OG0000765	WP_015199572.1	WP_035149496.1
OG0000766	WP_015199244.1	WP_035149613.1
OG0000767	WP_083866289.1	WP_035149616.1
OG0000768	WP_015198547.1	WP_035149652.1
OG0000769	WP_015197482.1	WP_035149685.1
OG0000770	WP_015196205.1	WP_035149750.1
OG0000771	WP_015199190.1	WP_035149756.1
OG0000772	WP_015199597.1	WP_035149774.1
OG0000773	WP_015199069.1	WP_035149878.1, WP_035157793.1
OG0000774	WP_015196426.1	WP_035149991.1
OG0000775	WP_015196607.1	WP_035150139.1
OG0000776	WP_015200913.1	WP_035150229.1
OG0000777	WP_015200272.1	WP_035150346.1
OG0000778	WP_144051063.1	WP_035150354.1
OG0000779	WP_015200395.1	WP_035151120.1, WP_035150401.1
OG0000780	WP_015196526.1	WP_035150455.1
OG0000781	WP_015196268.1, WP_015198812.1	WP_035150482.1
OG0000782	WP_015197811.1	WP_035150517.1
OG0000783	WP_015197923.1, WP_015198121.1	WP_035150521.1
OG0000784	WP_015196405.1	WP_035150535.1
OG0000785	WP_015196358.1	WP_035150562.1
OG0000786	WP_015196340.1, WP_015200113.1	WP_035150588.1
OG0000787	WP_015200542.1	WP_035150706.1, WP_035152241.1
OG0000788	WP_015199196.1	WP_035150715.1
OG0000789	WP_015198524.1	WP_052754415.1, WP_035150717.1
OG0000790	WP_015200982.1	WP_035150741.1
OG0000791	WP_015199026.1	WP_035150745.1
OG0000792	WP_015197698.1	WP_035152768.1, WP_035150748.1
OG0000793	WP_015199136.1, WP_015196001.1	WP_035150776.1
OG0000794	WP_015195853.1	WP_035150796.1
OG0000795	WP_015197567.1	WP_035150799.1, WP_035157451.1, WP_035158193.1, WP_046814820.1, WP_035152924.1
OG0000796	WP_015197220.1	WP_035150860.1
OG0000797	WP_015196213.1	WP_035150862.1, WP_035152615.1
OG0000798	WP_015196852.1	WP_035150963.1
OG0000799	WP_015199394.1	WP_035157605.1, WP_035151019.1
OG0000800	WP_238993710.1, WP_015196166.1	WP_035151035.1
OG0000801	WP_015198779.1	WP_035151046.1
OG0000802	WP_015198778.1	WP_035151084.1
OG0000803	WP_015197108.1, WP_015196328.1	WP_035151177.1
OG0000804	WP_015197359.1	WP_035151198.1
OG0000805	WP_015197674.1	WP_035151211.1
OG0000806	WP_015197679.1	WP_035151229.1
OG0000807	WP_015199206.1	WP_035151256.1, WP_035158890.1
OG0000808	WP_015197185.1	WP_035151286.1
OG0000809	WP_015195825.1	WP_035151357.1
OG0000811	WP_015198766.1	WP_035151487.1
OG0000813	WP_015196894.1	WP_168163502.1
OG0000813	WP_015200510.1	WP_035151629.1
OG0000814	WP_015196102.1, WP_015198336.1	WP_035152003.1, WP_035151663.1
OG0000815	WP_015198263.1	WP_035151798.1
OG0000816	WP_238993808.1	WP_035153167.1, WP_035152410.1, WP_035151850.1, WP_035151905.1
OG0000817	WP_015196107.1, WP_015198331.1	WP_035152009.1
OG0000818	WP_015196113.1, WP_015198320.1	WP_035152043.1
OG0000820	WP_015198578.1	WP_035152148.1, WP_144416068.1
OG0000821	WP_041739029.1	WP_035152515.1
OG0000822	WP_015198026.1, WP_015197592.1	WP_035152558.1
OG0000823	WP_015197593.1	WP_035152561.1
OG0000824	WP_144051037.1	WP_052754372.1
OG0000825	WP_015197749.1	WP_035152965.1
OG0000826	WP_015197524.1	WP_035153002.1
OG0000827	WP_015196987.1	WP_035153008.1
OG0000829	WP_015199258.1	WP_035153075.1
OG0000831	WP_015199002.1	WP_035159255.1, WP_035153200.1
OG0000832	WP_015197465.1	WP_035153217.1, WP_035159598.1
OG0000833	WP_015199749.1, WP_015199750.1	WP_035153318.1
OG0000834	WP_015199746.1	WP_035153322.1
OG0000835	WP_015200634.1	WP_035153393.1, WP_082127257.1
OG0000836	WP_015200629.1	WP_035153405.1
OG0000837	WP_015200711.1	WP_035153418.1
OG0000838	WP_015198786.1	WP_035153448.1
OG0000839	WP_203225987.1	WP_035153558.1
OG0000840	WP_015199515.1	WP_035153562.1
OG0000841	WP_015198642.1	WP_035153565.1
OG0000842	WP_015200171.1	WP_035153579.1
OG0000843	WP_015197590.1	WP_035153620.1, WP_035159337.1
OG0000844	WP_015196699.1	WP_035153630.1, WP_144416048.1
OG0000845	WP_015198896.1, WP_015200259.1	WP_035153726.1
OG0000846	WP_015198614.1	WP_035153797.1
OG0000847	WP_015198613.1	WP_035153799.1
OG0000848	WP_041740605.1	WP_035153801.1
OG0000849	WP_015198611.1	WP_035153803.1
OG0000850	WP_041740700.1	WP_035153888.1
OG0000851	WP_015198963.1	WP_035153890.1
OG0000852	WP_015199949.1, WP_015196295.1	WP_035154077.1
OG0000853	WP_015200090.1	WP_035154085.1
OG0000854	WP_015199998.1	WP_035154119.1
OG0000855	WP_015200768.1	WP_035154168.1
OG0000856	WP_015198616.1	WP_035154201.1
OG0000857	WP_015199360.1	WP_035154215.1
OG0000858	WP_015198462.1	WP_035154222.1
OG0000859	WP_015199693.1	WP_035154251.1
OG0000860	WP_015199354.1, WP_015196331.1	WP_035154333.1
OG0000861	WP_015199018.1	WP_035154387.1
OG0000862	WP_015201074.1	WP_035154462.1
OG0000863	WP_015201090.1	WP_035154486.1
OG0000864	WP_015199993.1	WP_035154517.1
OG0000865	WP_041739105.1	WP_035154533.1
OG0000866	WP_015195878.1	WP_035154562.1
OG0000867	WP_015195876.1	WP_035154565.1
OG0000868	WP_015199187.1	WP_035154569.1
OG0000869	WP_015200650.1	WP_035154614.1
OG0000870	WP_015196689.1	WP_035154644.1
OG0000871	WP_015199970.1	WP_035154660.1
OG0000872	WP_015200696.1, WP_015200834.1	WP_035154665.1
OG0000873	WP_238993727.1	WP_035154683.1, WP_035156593.1
OG0000874	WP_041740859.1, WP_051036791.1	WP_035154714.1
OG0000875	WP_015200212.1	WP_035154785.1
OG0000876	WP_015197791.1	WP_035154983.1, WP_052754521.1
OG0000877	WP_015200306.1	WP_035155034.1
OG0000878	WP_015200973.1	WP_035155075.1
OG0000879	WP_238993703.1	WP_035155177.1
OG0000880	WP_015197296.1	WP_256388850.1, WP_035155188.1
OG0000882	WP_015196496.1	WP_035155228.1
OG0000883	WP_015199680.1	WP_035155242.1
OG0000885	WP_015196974.1	WP_052754513.1, WP_035155280.1
OG0000886	WP_015199824.1	WP_035155311.1
OG0000887	WP_015199640.1	WP_035155333.1
OG0000888	WP_015197280.1	WP_035157861.1, WP_035155356.1
OG0000889	WP_015200849.1	WP_035155366.1
OG0000890	WP_015200356.1	WP_035155438.1
OG0000891	WP_015196401.1	WP_035155454.1
OG0000892	WP_015197397.1	WP_035155552.1
OG0000893	WP_015197562.1	WP_035155584.1
OG0000896	WP_015197589.1, WP_015198419.1	WP_035155768.1
OG0000897	WP_015196795.1	WP_035155788.1
OG0000899	WP_015199246.1	WP_035155874.1
OG0000900	WP_015197510.1	WP_035155998.1
OG0000901	WP_015197519.1	WP_035156026.1
OG0000903	WP_015200135.1	WP_035156206.1
OG0000904	WP_015196337.1	WP_035156239.1
OG0000905	WP_041740740.1	WP_035156279.1
OG0000906	WP_041740897.1	WP_035156364.1
OG0000907	WP_015198783.1	WP_035156396.1
OG0000908	WP_041740776.1	WP_035156414.1, WP_035157254.1
OG0000909	WP_015197454.1	WP_035156423.1
OG0000911	WP_015196382.1	WP_035156487.1
OG0000912	WP_015200059.1	WP_035156600.1
OG0000914	WP_015200454.1	WP_035156773.1
OG0000915	WP_015200457.1	WP_035156779.1
OG0000916	WP_015195917.1	WP_035156850.1
OG0000917	WP_015197576.1	WP_035157044.1
OG0000918	WP_015198509.1	WP_035156871.1
OG0000919	WP_015199702.1	WP_035156873.1
OG0000920	WP_041739071.1	WP_035156896.1
OG0000921	WP_015200091.1	WP_035156901.1
OG0000922	WP_015199344.1	WP_035156917.1
OG0000923	WP_015196557.1	WP_035156959.1
OG0000924	WP_015199451.1	WP_035157021.1
OG0000925	WP_015201052.1	WP_035157067.1
OG0000926	WP_015197034.1	WP_035157078.1
OG0000927	WP_015199842.1	WP_035157221.1
OG0000928	WP_015200848.1	WP_035157235.1, WP_238178452.1
OG0000929	WP_015199616.1	WP_035157264.1
OG0000930	WP_083866326.1	WP_035157284.1
OG0000931	WP_015196375.1	WP_035157287.1
OG0000932	WP_015200590.1	WP_035157837.1, WP_035157351.1
OG0000933	WP_015196490.1	WP_035157456.1
OG0000934	WP_015196595.1	WP_035157464.1
OG0000935	WP_015199352.1	WP_035157534.1
OG0000936	WP_015199455.1	WP_035157549.1
OG0000938	WP_015197153.1, WP_015197768.1	WP_035157654.1
OG0000939	WP_015198696.1	WP_035157687.1
OG0000940	WP_015197020.1	WP_035157692.1
OG0000941	WP_015197227.1	WP_035157694.1
OG0000942	WP_015197362.1	WP_035157723.1
OG0000943	WP_015195835.1	WP_035157727.1
OG0000944	WP_015197126.1	WP_035157741.1
OG0000945	WP_015198191.1	WP_035157787.1
OG0000946	WP_015200837.1	WP_035157806.1
OG0000948	WP_041740145.1	WP_035158000.1
OG0000949	WP_015200048.1	WP_035158057.1
OG0000950	WP_015196272.1, WP_041741245.1	WP_035158070.1
OG0000951	WP_015196982.1	WP_035158073.1
OG0000952	WP_255348442.1	WP_035158117.1
OG0000952	WP_015195932.1	WP_035159828.1
OG0000953	WP_015196199.1, WP_015197767.1	WP_035158119.1
OG0000954	WP_015199498.1	WP_035158126.1
OG0000955	WP_015200408.1, WP_015199644.1	WP_035158141.1
OG0000956	WP_015199854.1	WP_035158147.1
OG0000957	WP_015199853.1	WP_035158148.1
OG0000958	WP_015199248.1, WP_015198362.1	WP_035158160.1, WP_082127306.1
OG0000959	WP_015200885.1	WP_035158191.1
OG0000960	WP_015198503.1, WP_083866316.1	WP_035158210.1
OG0000962	WP_015198685.1	WP_035158238.1
OG0000966	WP_015197358.1, WP_015200388.1	WP_035158305.1
OG0000967	WP_041740371.1	WP_046814821.1, WP_035158330.1
OG0000968	WP_015196243.1	WP_035158922.1
OG0000969	WP_015200490.1	WP_035159028.1
OG0000970	WP_015196282.1	WP_035159061.1
OG0000971	WP_015198589.1	WP_035159069.1
OG0000972	WP_015198465.1	WP_035159173.1
OG0000973	WP_041740663.1	WP_035159197.1
OG0000974	WP_041740830.1	WP_035159222.1
OG0000975	WP_015200285.1	WP_035159425.1
OG0000977	WP_015196494.1	WP_035159519.1
OG0000978	WP_015196874.1	WP_035159602.1
OG0000979	WP_015200121.1, WP_015200192.1	WP_035159833.1
OG0000980	WP_015197426.1	WP_046814676.1
OG0000981	WP_015199090.1, WP_015200690.1	WP_046814689.1
OG0000982	WP_015200474.1	WP_144415973.1, WP_046814707.1
OG0000983	WP_238993733.1	WP_046814745.1
OG0000984	WP_015199896.1	WP_046814746.1
OG0000985	WP_238993720.1	WP_238178447.1
OG0000985	WP_015197355.1	WP_046814811.1
OG0000985	WP_015199628.1	WP_052754409.1
OG0000986	WP_015197192.1	WP_046814859.1
OG0000987	WP_015197379.1	WP_046814865.1
OG0000988	WP_015196327.1	WP_046814973.1
OG0000989	WP_203225930.1	WP_046815003.1
OG0000990	WP_015199037.1	WP_046815013.1
OG0000991	WP_015199491.1	WP_052754362.1
OG0000992	WP_015195811.1	WP_238178370.1, WP_052754377.1
OG0000993	WP_015196334.1	WP_052754388.1
OG0000995	WP_015197786.1, WP_015195887.1	WP_052754427.1
OG0000996	WP_015197934.1, WP_015195957.1, WP_015199254.1	WP_052754438.1
OG0000997	WP_015196505.1	WP_052754484.1
OG0000998	WP_015196411.1	WP_052754514.1
OG0000999	WP_015199983.1	WP_052754523.1
OG0001000	WP_015199456.1	WP_052754530.1
OG0001002	WP_015196106.1, WP_015198332.1	WP_082127291.1
OG0001003	WP_015198610.1	WP_082127324.1
OG0001004	WP_015199626.1	WP_082127342.1
OG0001005	WP_015200796.1	WP_082127441.1
OG0001006	WP_015197178.1	WP_144416029.1
OG0001007	WP_041739255.1, WP_015197617.1	WP_144416076.1
OG0001008	WP_015200382.1	WP_201782639.1
OG0001009	WP_015200188.1	WP_201782649.1
OG0001010	WP_041738981.1	WP_201782655.1, WP_238178364.1
OG0001011	WP_015199759.1	WP_201782668.1
OG0001012	WP_015201024.1	WP_201782688.1
OG0001013	WP_015196767.1	WP_238178341.1
OG0001014	WP_041739345.1, WP_015198108.1, WP_015197995.1	WP_238178361.1
OG0001015	WP_015196484.1	WP_238178379.1
OG0001016	WP_051036706.1	WP_238178381.1
OG0001017	WP_015198684.1	WP_238178403.1
OG0001018	WP_015198457.1, WP_015199034.1, WP_015198505.1	WP_238178428.1, WP_238178427.1
OG0001019	WP_041739803.1	WP_238178513.1
OG0001020	WP_041739768.1	WP_238178535.1
OG0001108	WP_006276978.1	WP_006276978.1
OG0001109	WP_015197208.1	WP_008232935.1
OG0001110	WP_015196422.1	WP_010995042.1
OG0001111	WP_015196969.1	WP_010997613.1
OG0001112	WP_015196935.1	WP_010998401.1
OG0001113	WP_015197452.1	WP_033336317.1
OG0001114	WP_015197425.1	WP_035148857.1
OG0001115	WP_015195841.1	WP_035148861.1
OG0001116	WP_015200196.1	WP_035148865.1
OG0001117	WP_015200197.1	WP_035148867.1
OG0001118	WP_041738985.1	WP_035148873.1
OG0001119	WP_015196181.1	WP_035148881.1
OG0001120	WP_015196603.1	WP_035148885.1
OG0001121	WP_015196604.1	WP_035148888.1
OG0001122	WP_015200912.1	WP_035148892.1
OG0001123	WP_015200909.1	WP_035148895.1
OG0001124	WP_015199055.1	WP_035148897.1
OG0001125	WP_015198562.1	WP_035148899.1
OG0001126	WP_015199656.1	WP_035148905.1
OG0001127	WP_015198582.1	WP_035148907.1
OG0001128	WP_015200181.1	WP_035148913.1
OG0001129	WP_015200180.1	WP_035148914.1
OG0001130	WP_015199172.1	WP_035148927.1
OG0001131	WP_015199171.1	WP_035148929.1
OG0001132	WP_015199743.1	WP_035148933.1
OG0001133	WP_015199742.1	WP_035148935.1
OG0001134	WP_015195873.1	WP_035148947.1
OG0001135	WP_015198545.1	WP_035148952.1
OG0001136	WP_015198544.1	WP_035148953.1
OG0001137	WP_015200421.1	WP_035148955.1
OG0001138	WP_015200422.1	WP_035148957.1
OG0001139	WP_015198691.1	WP_035148974.1
OG0001140	WP_041739973.1	WP_035148982.1
OG0001141	WP_015196200.1	WP_035148983.1
OG0001142	WP_015196306.1	WP_035149001.1
OG0001143	WP_015196305.1	WP_035149003.1
OG0001144	WP_015199785.1	WP_035155841.1, WP_035149017.1
OG0001145	WP_015197304.1	WP_035149019.1
OG0001146	WP_015198830.1	WP_035149021.1
OG0001147	WP_015197764.1	WP_035149024.1
OG0001148	WP_015196455.1	WP_035149026.1
OG0001149	WP_015196456.1	WP_035149028.1
OG0001150	WP_041740027.1	WP_035149030.1
OG0001152	WP_015197351.1	WP_035149036.1
OG0001153	WP_015199183.1	WP_035149040.1
OG0001154	WP_015197652.1	WP_035149044.1
OG0001155	WP_041740797.1	WP_035149046.1
OG0001156	WP_015199619.1	WP_035149048.1
OG0001157	WP_015196202.1	WP_035149051.1
OG0001158	WP_015199185.1	WP_035149063.1
OG0001159	WP_015197323.1	WP_035149066.1
OG0001160	WP_041740171.1	WP_035149070.1
OG0001161	WP_015198802.1	WP_035149071.1
OG0001162	WP_015196718.1	WP_035149076.1
OG0001163	WP_015198864.1	WP_035149078.1
OG0001164	WP_015198866.1	WP_035149081.1
OG0001165	WP_015198867.1	WP_035149083.1
OG0001166	WP_015198868.1	WP_035149086.1
OG0001167	WP_015199828.1	WP_035149088.1
OG0001168	WP_015198507.1	WP_035149091.1
OG0001169	WP_015198654.1	WP_035149098.1
OG0001170	WP_015200117.1	WP_035149100.1
OG0001171	WP_015200118.1	WP_035149102.1
OG0001172	WP_015198825.1	WP_035149104.1
OG0001173	WP_015198891.1	WP_035149106.1
OG0001174	WP_015199608.1	WP_035149110.1
OG0001175	WP_015199278.1	WP_035149125.1
OG0001176	WP_015199279.1	WP_035149126.1
OG0001177	WP_015199285.1	WP_035149127.1
OG0001178	WP_015199075.1	WP_035149135.1
OG0001179	WP_015198389.1	WP_035151746.1
OG0001180	WP_238993835.1	WP_035149173.1
OG0001182	WP_015200965.1	WP_035149187.1
OG0001183	WP_015199072.1	WP_035149196.1
OG0001184	WP_238993747.1	WP_035149201.1
OG0001185	WP_015200080.1	WP_035149209.1
OG0001186	WP_015200425.1	WP_035149231.1
OG0001187	WP_015199229.1	WP_035149233.1
OG0001188	WP_015198477.1	WP_035149240.1
OG0001189	WP_015199905.1	WP_035149247.1
OG0001190	WP_015199904.1	WP_035149250.1
OG0001191	WP_015199903.1	WP_035149253.1
OG0001192	WP_015199902.1	WP_035149254.1
OG0001193	WP_015197527.1	WP_035154763.1, WP_035149257.1
OG0001195	WP_015197663.1	WP_035149276.1
OG0001196	WP_015199770.1	WP_035149288.1
OG0001197	WP_015200051.1	WP_035149290.1
OG0001198	WP_015200126.1	WP_035149292.1
OG0001199	WP_015199176.1	WP_035149315.1
OG0001200	WP_015199621.1	WP_035149319.1
OG0001201	WP_015197560.1	WP_035149376.1
OG0001202	WP_041740759.1	WP_035149378.1
OG0001203	WP_015196953.1	WP_035149379.1
OG0001204	WP_015196954.1	WP_035149381.1
OG0001205	WP_015196923.1	WP_035149397.1
OG0001206	WP_015196924.1	WP_035149400.1
OG0001207	WP_015196925.1	WP_035149404.1
OG0001208	WP_041740294.1	WP_035149410.1
OG0001209	WP_015196939.1	WP_035149412.1
OG0001210	WP_015196940.1	WP_035149415.1
OG0001211	WP_015196941.1	WP_035149418.1
OG0001212	WP_015196666.1	WP_035149421.1
OG0001213	WP_015196667.1	WP_035149423.1
OG0001214	WP_015196669.1	WP_035149428.1
OG0001215	WP_015199402.1	WP_035149433.1
OG0001216	WP_051036817.1	WP_035149435.1
OG0001217	WP_015200120.1	WP_035149441.1
OG0001218	WP_015198956.1	WP_035149454.1
OG0001219	WP_015199052.1	WP_035149466.1
OG0001220	WP_015200350.1	WP_035149468.1
OG0001221	WP_015200349.1	WP_035149472.1
OG0001222	WP_015200218.1	WP_035149474.1
OG0001223	WP_015199796.1	WP_035149481.1
OG0001224	WP_015199795.1	WP_035149483.1
OG0001225	WP_015198914.1	WP_035149486.1
OG0001226	WP_015197671.1	WP_035149502.1
OG0001227	WP_015197670.1	WP_035149504.1
OG0001228	WP_015196246.1	WP_035149510.1
OG0001229	WP_015196311.1	WP_035149512.1
OG0001230	WP_015198978.1	WP_035149514.1
OG0001231	WP_015198975.1	WP_035149517.1
OG0001232	WP_015198758.1	WP_035149521.1
OG0001233	WP_015197259.1	WP_035149533.1
OG0001234	WP_015197260.1	WP_035149535.1
OG0001235	WP_015195871.1	WP_035149574.1
OG0001236	WP_015197247.1	WP_035149577.1
OG0001237	WP_015197248.1	WP_035149589.1
OG0001238	WP_015200568.1	WP_035149605.1
OG0001239	WP_015200402.1	WP_035149625.1
OG0001240	WP_015200401.1	WP_035149627.1
OG0001241	WP_041739924.1	WP_035149629.1
OG0001242	WP_015200390.1	WP_035149632.1
OG0001243	WP_015196581.1	WP_035149634.1
OG0001244	WP_015196582.1	WP_035149636.1
OG0001245	WP_015196583.1	WP_035149638.1
OG0001246	WP_015197798.1	WP_035149641.1
OG0001247	WP_015197796.1	WP_035149646.1
OG0001248	WP_015197489.1	WP_035149653.1
OG0001249	WP_015196300.1	WP_035149661.1
OG0001250	WP_015196301.1	WP_035149663.1
OG0001251	WP_015198655.1	WP_035149665.1
OG0001252	WP_238993746.1	WP_035149675.1
OG0001253	WP_015201035.1	WP_035149680.1
OG0001254	WP_015198930.1	WP_035149697.1
OG0001255	WP_015198931.1	WP_035149699.1
OG0001256	WP_015198932.1	WP_035149701.1
OG0001257	WP_015197544.1	WP_035149706.1
OG0001258	WP_015196984.1	WP_035149710.1
OG0001259	WP_015200322.1	WP_035149715.1
OG0001261	WP_041739722.1	WP_035149734.1
OG0001262	WP_015197769.1	WP_035149738.1
OG0001263	WP_015199537.1	WP_035149739.1
OG0001264	WP_015200991.1	WP_035149745.1
OG0001265	WP_015200992.1	WP_035149747.1
OG0001266	WP_015199191.1	WP_035149759.1
OG0001267	WP_015199598.1	WP_035149769.1
OG0001268	WP_041739659.1	WP_035149794.1
OG0001269	WP_015197552.1	WP_035149804.1
OG0001270	WP_015197553.1	WP_035149807.1
OG0001271	WP_015196732.1	WP_035149813.1
OG0001272	WP_015196733.1	WP_035149818.1
OG0001273	WP_015199434.1	WP_035149820.1
OG0001274	WP_144051045.1	WP_035149826.1
OG0001276	WP_015198958.1	WP_035149869.1
OG0001277	WP_015199866.1	WP_035149871.1
OG0001278	WP_015196774.1	WP_035149889.1
OG0001279	WP_015200660.1	WP_035149897.1
OG0001280	WP_015198730.1	WP_035149900.1
OG0001281	WP_015197700.1	WP_035149915.1
OG0001282	WP_015200420.1	WP_035149918.1
OG0001283	WP_015199696.1	WP_035149929.1
OG0001284	WP_015199695.1	WP_035149931.1
OG0001285	WP_041740611.1	WP_035149946.1
OG0001286	WP_041740932.1	WP_035149950.1
OG0001287	WP_015195806.1	WP_035149952.1
OG0001288	WP_015197363.1	WP_035149960.1
OG0001289	WP_015200339.1	WP_035149967.1
OG0001290	WP_015200338.1	WP_035149969.1
OG0001291	WP_203225964.1	WP_035149987.1
OG0001292	WP_015199801.1	WP_035150007.1
OG0001293	WP_085953331.1	WP_035150009.1
OG0001294	WP_015196682.1	WP_035150011.1
OG0001295	WP_015200043.1	WP_035150035.1
OG0001296	WP_015200044.1	WP_035150037.1
