Orthogroup	PCC_6303	PCC_7716
OG0000851	WP_015198963.1	WP_223976646.1
OG0000852	WP_015199949.1, WP_015196295.1	WP_223970117.1
OG0000853	WP_015200090.1	WP_224179149.1
OG0000854	WP_015199998.1	WP_224177329.1
OG0000855	WP_015200768.1	WP_224176842.1, WP_224176663.1
OG0000856	WP_015198616.1	WP_223986858.1
OG0000857	WP_015199360.1	WP_224177222.1
OG0000858	WP_015198462.1	WP_223971040.1
OG0000859	WP_015199693.1	WP_224178538.1, WP_223991147.1
OG0000860	WP_015196331.1	WP_224178726.1
OG0000861	WP_015199018.1	WP_223978985.1
OG0000862	WP_015201074.1	WP_223975668.1
OG0000863	WP_015201090.1	WP_223975622.1
OG0000864	WP_015199993.1	WP_224174786.1
OG0000865	WP_041739105.1	WP_224175335.1
OG0000866	WP_015195878.1	WP_224175978.1
OG0000867	WP_015195876.1	WP_224175979.1
OG0000868	WP_015199187.1	WP_223985599.1, WP_224179289.1
OG0000869	WP_015200650.1	WP_224174695.1
OG0000870	WP_015196689.1	WP_223973273.1
OG0000871	WP_015199970.1	WP_223972594.1
OG0000872	WP_015200696.1, WP_015200834.1	WP_224178112.1
OG0000873	WP_238993727.1	WP_223987764.1
OG0000874	WP_041740859.1, WP_051036791.1	WP_224174852.1
OG0000875	WP_015200212.1	WP_223990532.1
OG0000876	WP_015197791.1	WP_223973714.1
OG0000877	WP_015200306.1	WP_223974061.1
OG0000878	WP_015200973.1	WP_223990058.1
OG0000879	WP_238993703.1	WP_224175341.1, WP_224178339.1
OG0000880	WP_015197296.1	WP_223987290.1
OG0000882	WP_015196496.1	WP_224175561.1
OG0000883	WP_015199680.1	WP_223979894.1, WP_223973513.1
OG0000885	WP_015196974.1	WP_223976626.1
OG0000886	WP_015199824.1	WP_255667726.1, WP_223981665.1
OG0000887	WP_015199640.1	WP_223985691.1
OG0000888	WP_015197280.1	WP_224176393.1
OG0000889	WP_015200849.1	WP_224174920.1, WP_224180179.1, WP_224176916.1
OG0000890	WP_015200356.1	WP_223986069.1, WP_224179430.1
OG0000891	WP_015196401.1	WP_127080849.1
OG0000892	WP_015197397.1	WP_224174260.1, WP_224174817.1
OG0000893	WP_015197562.1	WP_223978870.1
OG0000896	WP_015197589.1	WP_127081326.1
OG0000897	WP_015196795.1	WP_223974016.1
OG0000899	WP_015199246.1	WP_127078199.1
OG0000900	WP_015197510.1	WP_224176555.1
OG0000901	WP_015197519.1	WP_224174986.1, WP_223977822.1
OG0000903	WP_015200135.1	WP_019494768.1, WP_224178452.1
OG0000904	WP_015196337.1	WP_223987217.1
OG0000905	WP_041740740.1	WP_224177663.1
OG0000906	WP_041740897.1	WP_223975824.1
OG0000907	WP_015198783.1	WP_224179236.1
OG0000908	WP_041740776.1	WP_223970985.1
OG0000909	WP_015197454.1	WP_223973811.1
OG0000911	WP_015196382.1	WP_223989496.1, WP_224180022.1
OG0000912	WP_015200059.1	WP_223987775.1, WP_224174630.1
OG0000914	WP_015200454.1	WP_223978118.1, WP_223990136.1
OG0000915	WP_015200457.1	WP_223977310.1
OG0000916	WP_015195917.1	WP_224174093.1, WP_223976400.1
OG0000917	WP_015197576.1	WP_223977077.1
OG0000918	WP_015198509.1	WP_223989300.1
OG0000919	WP_015199702.1	WP_224176611.1
OG0000920	WP_041739071.1	WP_223976489.1
OG0000921	WP_015200091.1	WP_223983677.1
OG0000922	WP_015199344.1	WP_127085105.1
OG0000923	WP_015196557.1	WP_223989414.1, WP_224175411.1
OG0000924	WP_015199451.1	WP_223978086.1
OG0000925	WP_015201052.1	WP_224175936.1, WP_223977265.1
OG0000926	WP_015197034.1	WP_223978907.1
OG0000927	WP_015199842.1	WP_223979453.1, WP_224174692.1
OG0000928	WP_015200848.1	WP_073620774.1
OG0000929	WP_015199616.1	WP_223972530.1
OG0000930	WP_083866326.1	WP_223977089.1
OG0000931	WP_015196375.1	WP_224177874.1
OG0000932	WP_015200590.1	WP_223991157.1
OG0000933	WP_015196490.1	WP_224179538.1
OG0000934	WP_015196595.1	WP_127079560.1
OG0000935	WP_015199352.1	WP_223990696.1
OG0000936	WP_015199455.1	WP_223990611.1, WP_224176824.1
OG0000938	WP_015197153.1	WP_224177314.1
OG0000939	WP_015198696.1	WP_019493182.1
OG0000940	WP_015197020.1	WP_224179392.1
OG0000941	WP_015197227.1	WP_255666542.1, WP_223983160.1
OG0000942	WP_015197362.1	WP_223979288.1, WP_223977580.1
OG0000943	WP_015195835.1	WP_223985568.1
OG0000944	WP_015197126.1	WP_224177528.1
OG0000945	WP_015198191.1	WP_223974172.1, WP_073624118.1
OG0000946	WP_015200837.1	WP_223989700.1
OG0000948	WP_041740145.1	WP_223970172.1
OG0000949	WP_015200048.1	WP_224174618.1
OG0000950	WP_015196272.1, WP_041741245.1	WP_223975022.1
OG0000951	WP_015196982.1	WP_223976638.1
OG0000952	WP_015195932.1	WP_224179726.1
OG0000953	WP_015196199.1, WP_015197767.1	WP_224175248.1
OG0000954	WP_015199498.1	WP_224176368.1
OG0000955	WP_015200408.1, WP_015199644.1	WP_224177954.1
OG0000956	WP_015199854.1	WP_224174620.1, WP_224175205.1
OG0000957	WP_015199853.1	WP_223991473.1
OG0000958	WP_015199248.1, WP_015198362.1	WP_223985978.1
OG0000959	WP_015200885.1	WP_223983454.1
OG0000960	WP_015198503.1, WP_083866316.1	WP_224177122.1
OG0000962	WP_015198685.1	WP_223973023.1
OG0000966	WP_015197358.1, WP_015200388.1	WP_223977333.1
OG0000967	WP_041740371.1	WP_224175165.1
OG0000968	WP_015196243.1	WP_224178140.1
OG0000969	WP_015200490.1	WP_223972871.1
OG0000970	WP_015196282.1	WP_223990011.1
OG0000971	WP_015198589.1	WP_224177900.1, WP_224179074.1
OG0000973	WP_041740663.1	WP_223973767.1, WP_224176866.1
OG0000974	WP_041740830.1	WP_224177471.1
OG0000975	WP_015200285.1	WP_224174732.1, WP_127085455.1
OG0000977	WP_015196494.1	WP_224178413.1
OG0000978	WP_015196874.1	WP_223974025.1
OG0000979	WP_015200121.1, WP_015200192.1	WP_223989542.1
OG0000980	WP_015197426.1	WP_223972938.1
OG0000981	WP_015199090.1	WP_224177609.1
OG0000982	WP_015200474.1	WP_223986113.1
OG0000983	WP_238993733.1	WP_224176812.1
OG0000984	WP_015199896.1	WP_223977903.1
OG0000986	WP_015197192.1	WP_224176781.1, WP_223977011.1
OG0000987	WP_015197379.1	WP_223972430.1
OG0000988	WP_015197109.1	WP_224175105.1
OG0000988	WP_015196327.1	WP_224177836.1
OG0000989	WP_203225930.1	WP_224178148.1
OG0000990	WP_015199037.1	WP_224178806.1
OG0000991	WP_015199491.1	WP_224175420.1, WP_224175421.1
OG0000992	WP_015195811.1	WP_223981562.1
OG0000993	WP_015196334.1	WP_223976692.1, WP_224179015.1
OG0000995	WP_015195887.1	WP_223978047.1
OG0000996	WP_015197934.1, WP_015195957.1, WP_015199254.1	WP_224175512.1
OG0000997	WP_015196505.1	WP_224176186.1
OG0000998	WP_015196411.1	WP_223984566.1
OG0001000	WP_015199456.1	WP_224176430.1, WP_224177437.1
OG0001002	WP_015196106.1, WP_015198332.1	WP_224180220.1, WP_224175677.1
OG0001003	WP_015198610.1	WP_224178872.1
OG0001004	WP_015199626.1	WP_224176875.1, WP_223978798.1
OG0001005	WP_015200796.1	WP_223988215.1
OG0001006	WP_015197178.1	WP_224179702.1
OG0001007	WP_041739255.1	WP_224175351.1
OG0001008	WP_015200382.1	WP_224178032.1
OG0001009	WP_015200188.1	WP_224178083.1
OG0001010	WP_041738981.1	WP_186538615.1
OG0001011	WP_015199759.1	WP_223982230.1
OG0001012	WP_015201024.1	WP_223991094.1
OG0001013	WP_015196767.1	WP_223981076.1
OG0001014	WP_041739345.1, WP_015198108.1, WP_015197995.1	WP_223989476.1
OG0001015	WP_015196484.1	WP_224178120.1
OG0001016	WP_051036706.1	WP_223986280.1
OG0001017	WP_015198684.1	WP_223973022.1
OG0001018	WP_015198457.1, WP_015199034.1, WP_015198505.1	WP_224178236.1
OG0001019	WP_041739803.1	WP_223991386.1
OG0001020	WP_041739768.1	WP_223976156.1
OG0001023	WP_015199444.1	WP_224177915.1
OG0001027	WP_015198822.1	WP_223978078.1
OG0001033	WP_015196928.1	WP_224177003.1, WP_224177560.1, WP_223973245.1
OG0001035	WP_015197442.1	WP_224178881.1
OG0001037	WP_015201031.1	WP_223986313.1
OG0001040	WP_015200709.1	WP_224174089.1
OG0001041	WP_015200710.1	WP_224174090.1
OG0001045	WP_015197145.1	WP_223990584.1, WP_223990587.1
OG0001046	WP_015197408.1	WP_223973213.1, WP_224176693.1, WP_224176710.1
OG0001047	WP_015195948.1	WP_223974709.1
OG0001051	WP_015199259.1	WP_223981451.1, WP_223974367.1
OG0001055	WP_015201006.1	WP_224174759.1
OG0001059	WP_015196452.1	WP_224177236.1
OG0001059	WP_015198346.1	WP_224180150.1, WP_223972663.1
OG0001060	WP_015196168.1	WP_224174083.1
OG0001061	WP_015198193.1	WP_224175796.1, WP_223974174.1
OG0001065	WP_015196816.1	WP_223975327.1
OG0001067	WP_015198674.1	WP_223990074.1, WP_224179159.1
OG0001068	WP_015199137.1	WP_224176564.1, WP_223978801.1
OG0001069	WP_015198908.1	WP_223989979.1
OG0001071	WP_015197098.1	WP_224178175.1
OG0001072	WP_015200160.1	WP_223990008.1
OG0001072	WP_015197716.1	WP_223987173.1
OG0001073	WP_015196017.1	WP_224175970.1
OG0001073	WP_015198348.1	WP_224175139.1
OG0001074	WP_041739569.1, WP_041739422.1	WP_224180170.1, WP_224179743.1
OG0001075	WP_041740501.1	WP_224174877.1, WP_224178985.1, WP_224175707.1
OG0001076	WP_015199145.1	WP_224174865.1, WP_224174368.1, WP_223977846.1
OG0001078	WP_144051031.1, WP_015198339.1	WP_224174355.1
OG0001078	WP_144051168.1	WP_224178989.1
OG0001080	WP_015198699.1	WP_224180395.1
OG0001080	WP_015198484.1	WP_224173926.1, WP_224179449.1
OG0001082	WP_041740675.1	WP_224174669.1, WP_224175099.1
OG0001083	WP_015200466.1	WP_223978293.1, WP_223978167.1
OG0001084	WP_015199470.1	WP_223986947.1, WP_223970997.1
OG0001086	WP_015173922.1, WP_015173959.1, WP_015201119.1, WP_015201117.1	WP_224180545.1, WP_224180421.1
OG0001091	WP_015195964.1	WP_224176010.1
OG0001099	WP_015199379.1	WP_224179026.1, WP_224179027.1, WP_224176897.1
OG0001101	WP_015198919.1	WP_224174757.1
OG0001107	WP_041738938.1	WP_224175322.1, WP_224175823.1, WP_224180475.1, WP_224173985.1, WP_224180283.1, WP_224177646.1, WP_224174980.1
OG0001108	WP_006276978.1	WP_006276978.1
OG0001109	WP_015197208.1	WP_010998474.1
OG0001110	WP_015196422.1	WP_010995042.1
OG0001111	WP_015196969.1	WP_010997613.1
OG0001112	WP_015196935.1	WP_010998401.1
OG0001113	WP_015197452.1	WP_015114387.1
OG0001114	WP_015197425.1	WP_224175379.1
OG0001115	WP_015195841.1	WP_223976672.1
OG0001116	WP_015200196.1	WP_224179467.1
OG0001117	WP_015200197.1	WP_223985523.1
OG0001118	WP_041738985.1	WP_223984465.1
OG0001119	WP_015196181.1	WP_223978952.1
OG0001120	WP_015196603.1	WP_224178335.1
OG0001121	WP_015196604.1	WP_224178336.1
OG0001122	WP_015200912.1	WP_224178513.1
OG0001123	WP_015200909.1	WP_223990367.1
OG0001124	WP_015199055.1	WP_224177797.1
OG0001125	WP_015198562.1	WP_224178752.1
OG0001126	WP_015199656.1	WP_223973071.1
OG0001127	WP_015198582.1	WP_223973077.1
OG0001128	WP_015200181.1	WP_223977950.1
OG0001129	WP_015200180.1	WP_223976787.1
OG0001130	WP_015199172.1	WP_019493295.1
OG0001131	WP_015199171.1	WP_223989498.1
OG0001132	WP_015199743.1	WP_223980634.1
OG0001133	WP_015199742.1	WP_127080252.1
OG0001134	WP_015195873.1	WP_223978120.1
OG0001135	WP_015198545.1	WP_223972525.1
OG0001136	WP_015198544.1	WP_073616159.1
OG0001137	WP_015200421.1	WP_223978370.1
OG0001138	WP_015200422.1	WP_223978369.1
OG0001139	WP_015198691.1	WP_224177300.1
OG0001140	WP_041739973.1	WP_224179485.1
OG0001141	WP_015196200.1	WP_224176361.1
OG0001142	WP_015196306.1	WP_223977962.1
OG0001143	WP_015196305.1	WP_223977308.1
OG0001144	WP_015199785.1	WP_224178845.1
OG0001145	WP_015197304.1	WP_223991259.1
OG0001146	WP_015198830.1	WP_019495151.1
OG0001147	WP_015197764.1	WP_073619884.1
OG0001148	WP_015196455.1	WP_223976317.1
OG0001149	WP_015196456.1	WP_224177563.1
OG0001150	WP_041740027.1	WP_223982607.1
OG0001152	WP_015197351.1	WP_223987714.1
OG0001153	WP_015199183.1	WP_224177140.1
OG0001154	WP_015197652.1	WP_223972553.1
OG0001155	WP_041740797.1	WP_223989532.1
OG0001156	WP_015199619.1	WP_223989290.1
OG0001157	WP_015196202.1	WP_224178671.1
OG0001158	WP_015199185.1	WP_223980855.1
OG0001159	WP_015197323.1	WP_223988277.1
OG0001160	WP_041740171.1	WP_223976149.1
OG0001161	WP_015198802.1	WP_224177985.1
OG0001162	WP_015196718.1	WP_224176409.1
OG0001163	WP_015198864.1	WP_223983708.1
OG0001164	WP_015198866.1	WP_223984869.1
OG0001165	WP_015198867.1	WP_223983704.1
OG0001166	WP_015198868.1	WP_224178502.1
OG0001167	WP_015199828.1	WP_223982749.1
OG0001168	WP_015198507.1	WP_223975608.1
OG0001169	WP_015198654.1	WP_224177624.1
OG0001170	WP_015200117.1	WP_224177345.1
OG0001171	WP_015200118.1	WP_224177344.1
OG0001172	WP_015198825.1	WP_127078636.1
OG0001173	WP_015198891.1	WP_223983802.1
OG0001174	WP_015199608.1	WP_019489948.1
OG0001175	WP_015199278.1	WP_019492323.1
OG0001176	WP_015199279.1	WP_223975524.1
OG0001177	WP_015199285.1	WP_223975526.1
OG0001178	WP_015199075.1	WP_223973600.1
OG0001179	WP_015198389.1	WP_224178198.1
OG0001180	WP_238993835.1	WP_223986468.1
OG0001182	WP_015200965.1	WP_224178681.1
OG0001183	WP_015199072.1	WP_223985511.1
OG0001184	WP_238993747.1	WP_223989278.1
OG0001185	WP_015200080.1	WP_224179107.1
OG0001186	WP_015200425.1	WP_224176823.1
OG0001187	WP_015199229.1	WP_224176008.1
OG0001188	WP_015198477.1	WP_223983107.1
OG0001189	WP_015199905.1	WP_223989292.1
OG0001190	WP_015199904.1	WP_223989294.1
OG0001191	WP_015199903.1	WP_223989296.1
OG0001192	WP_015199902.1	WP_019492353.1
OG0001193	WP_015197527.1	WP_223990760.1
OG0001195	WP_015197663.1	WP_223980120.1
OG0001196	WP_015199770.1	WP_223986031.1
OG0001197	WP_015200051.1	WP_223971100.1
OG0001198	WP_015200126.1	WP_224174699.1
OG0001199	WP_015199176.1	WP_223977913.1
OG0001200	WP_015199621.1	WP_223976036.1
OG0001201	WP_015197560.1	WP_223973395.1
OG0001202	WP_041740759.1	WP_223988015.1
OG0001203	WP_015196953.1	WP_224178698.1
OG0001204	WP_015196954.1	WP_223984708.1
OG0001205	WP_015196923.1	WP_224176021.1
OG0001206	WP_015196924.1	WP_223978741.1
OG0001207	WP_015196925.1	WP_224176025.1
OG0001208	WP_041740294.1	WP_224176029.1
OG0001209	WP_015196939.1	WP_223978752.1
OG0001210	WP_015196940.1	WP_019497397.1
OG0001211	WP_015196941.1	WP_224176030.1
OG0001212	WP_015196666.1	WP_223972742.1
OG0001213	WP_015196667.1	WP_223972743.1
OG0001214	WP_015196669.1	WP_019489541.1
OG0001215	WP_015199402.1	WP_223985030.1
OG0001216	WP_051036817.1	WP_223986084.1
OG0001217	WP_015200120.1	WP_224178393.1
OG0001218	WP_015198956.1	WP_223986810.1
OG0001219	WP_015199052.1	WP_223985961.1
OG0001220	WP_015200350.1	WP_223985957.1
OG0001221	WP_015200349.1	WP_223985955.1
OG0001222	WP_015200218.1	WP_224173996.1
OG0001223	WP_015199796.1	WP_223975462.1
OG0001224	WP_015199795.1	WP_223975460.1
OG0001225	WP_015198914.1	WP_223991423.1
OG0001226	WP_015197671.1	WP_223976797.1
OG0001227	WP_015197670.1	WP_223989802.1
OG0001228	WP_015196246.1	WP_223989796.1
OG0001229	WP_015196311.1	WP_223989794.1
OG0001230	WP_015198978.1	WP_019492311.1
OG0001231	WP_015198975.1	WP_223975476.1
OG0001232	WP_015198758.1	WP_224177418.1
OG0001233	WP_015197259.1	WP_026093335.1
OG0001234	WP_015197260.1	WP_019493631.1
OG0001235	WP_015195871.1	WP_223986348.1
OG0001236	WP_015197247.1	WP_019491212.1
OG0001237	WP_015197248.1	WP_127082019.1
OG0001238	WP_015200568.1	WP_224179531.1
OG0001239	WP_015200402.1	WP_223977559.1
OG0001240	WP_015200401.1	WP_223977557.1
OG0001241	WP_041739924.1	WP_223977553.1
OG0001242	WP_015200390.1	WP_223977329.1
OG0001243	WP_015196581.1	WP_223982637.1
OG0001244	WP_015196582.1	WP_224177343.1
OG0001245	WP_015196583.1	WP_224178670.1
OG0001246	WP_015197798.1	WP_224178039.1
OG0001247	WP_015197796.1	WP_223973672.1
OG0001248	WP_015197489.1	WP_224178729.1
OG0001249	WP_015196300.1	WP_223977989.1
OG0001250	WP_015196301.1	WP_223969946.1
OG0001251	WP_015198655.1	WP_223978730.1
OG0001252	WP_238993746.1	WP_224177001.1
OG0001253	WP_015201035.1	WP_224175590.1
OG0001254	WP_015198930.1	WP_224179568.1
OG0001255	WP_015198931.1	WP_019491391.1
OG0001256	WP_015198932.1	WP_127081723.1
OG0001257	WP_015197544.1	WP_223972329.1
OG0001258	WP_015196984.1	WP_223976644.1
OG0001259	WP_015200322.1	WP_224177762.1
OG0001261	WP_041739722.1	WP_224179042.1
OG0001262	WP_015197769.1	WP_223978213.1
OG0001263	WP_015199537.1	WP_223978859.1
OG0001264	WP_015200991.1	WP_223972460.1
OG0001265	WP_015200992.1	WP_224174829.1
OG0001266	WP_015199191.1	WP_223977876.1
OG0001267	WP_015199598.1	WP_224174769.1
OG0001268	WP_041739659.1	WP_019494428.1
OG0001269	WP_015197552.1	WP_224179502.1
OG0001270	WP_015197553.1	WP_019494432.1
OG0001271	WP_015196732.1	WP_223991428.1
OG0001272	WP_015196733.1	WP_224177752.1
OG0001273	WP_015199434.1	WP_224179655.1
OG0001276	WP_015198958.1	WP_073619417.1
OG0001277	WP_015199866.1	WP_019491256.1
OG0001278	WP_015196774.1	WP_224173999.1
OG0001279	WP_015200660.1	WP_224176407.1
OG0001280	WP_015198730.1	WP_223977713.1
OG0001281	WP_015197700.1	WP_224176231.1
OG0001282	WP_015200420.1	WP_224176203.1
OG0001283	WP_015199696.1	WP_224176583.1
OG0001284	WP_015199695.1	WP_019495257.1
OG0001285	WP_041740611.1	WP_223977901.1
OG0001286	WP_041740932.1	WP_223990776.1
OG0001287	WP_015195806.1	WP_224174805.1
OG0001288	WP_015197363.1	WP_223978243.1
OG0001289	WP_015200339.1	WP_223988142.1
OG0001290	WP_015200338.1	WP_223978111.1
OG0001291	WP_203225964.1	WP_223984912.1
OG0001292	WP_015199801.1	WP_224176579.1
OG0001293	WP_085953331.1	WP_223977890.1
OG0001294	WP_015196682.1	WP_224175336.1
OG0001295	WP_015200043.1	WP_127080705.1
OG0001296	WP_015200044.1	WP_223977784.1
OG0001297	WP_015198029.1	WP_223990360.1
OG0001298	WP_015198032.1	WP_223990320.1
OG0001299	WP_015198034.1	WP_224176923.1
OG0001300	WP_015198036.1	WP_223990325.1
OG0001301	WP_015198042.1	WP_224176918.1
OG0001302	WP_015198045.1	WP_223990351.1
OG0001303	WP_015198046.1	WP_223990353.1
OG0001304	WP_015198050.1	WP_223990335.1
OG0001305	WP_015198053.1	WP_224176924.1
OG0001306	WP_015198054.1	WP_223990327.1
OG0001307	WP_015199412.1	WP_224176199.1
OG0001308	WP_015197015.1	WP_224175037.1
OG0001309	WP_041739947.1	WP_223972600.1
OG0001310	WP_015200520.1	WP_223972599.1
OG0001311	WP_015200519.1	WP_223972598.1
OG0001312	WP_015198479.1	WP_223986445.1
OG0001313	WP_015196606.1	WP_223973807.1
OG0001314	WP_015196605.1	WP_224178382.1
OG0001315	WP_015197160.1	WP_223973805.1
OG0001316	WP_015197161.1	WP_224178383.1
OG0001317	WP_015196889.1	WP_223973803.1
OG0001318	WP_015196891.1	WP_223973802.1
OG0001319	WP_015200734.1	WP_224178384.1
OG0001320	WP_015200733.1	WP_224178385.1
OG0001321	WP_015196951.1	WP_223991285.1
OG0001322	WP_015196176.1	WP_223978976.1
OG0001324	WP_015197628.1	WP_224179066.1
OG0001325	WP_015197627.1	WP_224179065.1
OG0001326	WP_015200392.1	WP_224176501.1
OG0001327	WP_015200179.1	WP_223991304.1
OG0001328	WP_015199996.1	WP_224180477.1, WP_223977662.1
OG0001329	WP_041740927.1	WP_224179316.1
OG0001330	WP_015200747.1	WP_224179315.1
OG0001331	WP_015195981.1	WP_224178183.1
OG0001332	WP_015197189.1	WP_224178126.1
OG0001333	WP_015196962.1	WP_224178089.1
OG0001334	WP_015196963.1	WP_224178090.1
OG0001337	WP_015196692.1	WP_223973753.1
OG0001338	WP_015197026.1	WP_224176517.1
OG0001339	WP_015199438.1	WP_223978164.1
OG0001340	WP_015200462.1	WP_223977532.1
OG0001341	WP_015201065.1	WP_223990064.1
OG0001342	WP_015200271.1	WP_223988076.1
OG0001343	WP_015199089.1	WP_223988273.1
OG0001344	WP_015199944.1	WP_224175504.1
OG0001345	WP_015199400.1	WP_223985027.1
OG0001346	WP_015199399.1	WP_223985024.1
OG0001347	WP_015199527.1	WP_223978774.1
OG0001348	WP_015199924.1	WP_223986273.1
OG0001349	WP_015199393.1	WP_224177981.1
OG0001350	WP_015196660.1	WP_224179219.1
OG0001351	WP_015196659.1	WP_224179218.1
OG0001352	WP_015200566.1	WP_223978147.1
OG0001353	WP_015197030.1	WP_223982532.1
OG0001354	WP_015197436.1	WP_224177336.1
OG0001356	WP_015200805.1	WP_223982513.1
OG0001357	WP_015200706.1	WP_224177920.1
OG0001358	WP_015196525.1	WP_223984184.1
OG0001359	WP_015197151.1	WP_224178624.1
OG0001360	WP_015196765.1	WP_224175557.1
OG0001361	WP_041739062.1	WP_224177448.1
OG0001362	WP_015199521.1	WP_223978110.1
OG0001363	WP_015196353.1	WP_223977530.1
OG0001364	WP_015199384.1	WP_224178388.1
OG0001365	WP_015199536.1	WP_223978857.1
OG0001366	WP_015199054.1	WP_223978853.1
OG0001367	WP_015199100.1	WP_223976066.1
OG0001368	WP_015199101.1	WP_223973949.1
OG0001369	WP_015200699.1	WP_224175098.1
OG0001370	WP_015199214.1	WP_224175255.1
OG0001371	WP_041739483.1	WP_224180292.1
OG0001372	WP_015199745.1	WP_223971423.1
OG0001373	WP_041739980.1	WP_224179606.1
OG0001374	WP_015199086.1	WP_223987685.1
OG0001375	WP_015198552.1	WP_223972961.1
OG0001376	WP_015198553.1	WP_223972963.1
OG0001377	WP_015196339.1	WP_224178668.1
OG0001378	WP_015196249.1	WP_224177839.1
OG0001379	WP_015200838.1	WP_223986194.1
OG0001380	WP_015196652.1	WP_223986192.1
OG0001381	WP_015196655.1	WP_223986186.1
OG0001382	WP_015196658.1	WP_223986180.1
OG0001383	WP_015196443.1	WP_224177599.1
OG0001384	WP_041740895.1	WP_224173929.1
OG0001385	WP_015199315.1	WP_224176962.1
OG0001386	WP_015198925.1	WP_223979921.1
OG0001387	WP_015197142.1	WP_224176434.1
OG0001388	WP_015197144.1	WP_223990588.1
OG0001389	WP_015197146.1	WP_224176435.1
OG0001390	WP_015199569.1	WP_224177054.1
OG0001391	WP_015199568.1	WP_223980221.1
OG0001392	WP_015199566.1	WP_223980225.1
OG0001393	WP_015196665.1	WP_223985658.1
OG0001394	WP_015200961.1	WP_127086973.1
OG0001395	WP_015198734.1	WP_224177332.1
OG0001396	WP_015198733.1	WP_223982488.1
OG0001397	WP_015199046.1	WP_223986208.1
OG0001398	WP_015199197.1	WP_223990686.1
OG0001399	WP_015198761.1	WP_224179492.1
OG0001400	WP_015196357.1	WP_223990477.1
OG0001401	WP_015197121.1	WP_223991368.1
OG0001402	WP_015197120.1	WP_224176970.1
OG0001403	WP_015197119.1	WP_019494659.1
OG0001404	WP_015197118.1	WP_224176969.1
OG0001405	WP_015200984.1	WP_224175112.1
OG0001406	WP_015199025.1	WP_224175109.1
OG0001407	WP_015196263.1	WP_223980752.1
OG0001408	WP_015196349.1	WP_224176620.1
OG0001409	WP_015198917.1	WP_224176396.1
OG0001410	WP_015196262.1	WP_223978666.1
OG0001412	WP_015200728.1	WP_224175459.1, WP_224178899.1
OG0001413	WP_015199391.1	WP_224178632.1
OG0001414	WP_015200494.1	WP_224177313.1
OG0001415	WP_015196994.1	WP_223973382.1
OG0001416	WP_015196853.1	WP_224177867.1
OG0001417	WP_015200786.1	WP_223972510.1
OG0001418	WP_015199965.1	WP_223975992.1
OG0001419	WP_015196864.1	WP_224175091.1
OG0001420	WP_015197002.1	WP_223990078.1
OG0001421	WP_041739613.1	WP_224176363.1
OG0001422	WP_015198828.1	WP_073616549.1
OG0001423	WP_015198829.1	WP_019495698.1
OG0001424	WP_015196267.1	WP_224178355.1
OG0001425	WP_015196212.1	WP_223978950.1
OG0001426	WP_015198973.1	WP_223987791.1
OG0001427	WP_015199504.1	WP_223985584.1
OG0001428	WP_015199503.1	WP_073620480.1
OG0001429	WP_015200662.1	WP_026093591.1
OG0001430	WP_015195920.1	WP_224176431.1
OG0001431	WP_015199713.1	WP_223976507.1
OG0001432	WP_015195889.1	WP_223973040.1
OG0001433	WP_015196601.1	WP_223973376.1
OG0001434	WP_015199786.1	WP_224175533.1
OG0001435	WP_015195854.1	WP_224177654.1
OG0001436	WP_015199646.1	WP_224178178.1
OG0001437	WP_015199647.1	WP_223974448.1
OG0001438	WP_238993776.1	WP_224175364.1
OG0001439	WP_015199874.1	WP_223977683.1
OG0001442	WP_015197808.1	WP_224174677.1
OG0001443	WP_015197809.1	WP_224174670.1
OG0001444	WP_015197637.1, WP_015197583.1	WP_223971571.1
OG0001445	WP_203225947.1	WP_224174667.1
OG0001447	WP_015198777.1	WP_223971548.1
OG0001448	WP_015199909.1	WP_224176446.1
OG0001449	WP_015199974.1	WP_224176414.1
OG0001450	WP_015199232.1	WP_224175195.1
OG0001451	WP_015200993.1	WP_224173942.1
OG0001452	WP_015200397.1	WP_224175113.1
OG0001453	WP_015200394.1	WP_223972811.1
OG0001454	WP_015197104.1	WP_127082742.1
OG0001455	WP_015197103.1	WP_224175114.1
OG0001456	WP_015197229.1	WP_223972816.1
OG0001457	WP_041739733.1	WP_224176590.1
OG0001458	WP_041740741.1	WP_224176589.1
OG0001459	WP_015199177.1	WP_223977915.1
OG0001460	WP_238993825.1	WP_224173995.1
OG0001461	WP_015197668.1	WP_127084257.1
OG0001464	WP_015199219.1	WP_223985949.1
OG0001465	WP_015199218.1	WP_223985947.1
OG0001466	WP_015197306.1	WP_223978312.1
OG0001467	WP_015197665.1	WP_224178880.1
OG0001468	WP_015199204.1	WP_224177012.1
OG0001469	WP_203225929.1	WP_224177007.1
OG0001470	WP_015199182.1	WP_224177006.1
OG0001471	WP_015196373.1	WP_223978698.1
OG0001473	WP_015196680.1	WP_223990117.1
OG0001474	WP_015196775.1	WP_223990115.1
OG0001475	WP_015199383.1	WP_223991257.1
OG0001476	WP_015197187.1	WP_223977948.1
OG0001477	WP_015197186.1	WP_223976757.1
OG0001478	WP_015198482.1	WP_223977912.1
OG0001479	WP_015199624.1	WP_223978051.1
OG0001480	WP_015196521.1	WP_223978052.1
OG0001481	WP_015197602.1	WP_073617728.1
OG0001482	WP_015197603.1	WP_019492986.1
OG0001483	WP_015197604.1	WP_019492985.1
