Orthogroup	336-3	PCC_7716
OG0000367	WP_035158095.1	WP_223982640.1
OG0000369	WP_035158306.1	WP_223973115.1, WP_224177695.1
OG0000370	WP_035158677.1	WP_224178958.1, WP_224175932.1, WP_224175685.1
OG0000371	WP_035158847.1	WP_224179615.1
OG0000372	WP_035158896.1	WP_224178225.1, WP_224175754.1, WP_224175773.1, WP_224179989.1, WP_224175758.1
OG0000373	WP_035159052.1	WP_224174717.1, WP_223973836.1
OG0000374	WP_035159130.1	WP_224176634.1
OG0000375	WP_035159393.1	WP_224174162.1
OG0000376	WP_035159438.1	WP_223972281.1, WP_224178432.1, WP_223978154.1
OG0000377	WP_035159894.1	WP_224180462.1
OG0000378	WP_035159995.1	WP_224180310.1, WP_224180450.1, WP_224180512.1, WP_224175645.1, WP_224180264.1, WP_224180484.1
OG0000379	WP_046814744.1	WP_224176677.1, WP_224178443.1
OG0000380	WP_046814825.1	WP_224178421.1
OG0000381	WP_046814904.1	WP_224178192.1
OG0000382	WP_046814916.1	WP_223975942.1
OG0000383	WP_052754475.1	WP_224174023.1, WP_224174572.1, WP_224177924.1
OG0000384	WP_052754481.1, WP_144416053.1	WP_223989363.1, WP_223989365.1
OG0000385	WP_052754505.1	WP_223986047.1
OG0000386	WP_052754563.1, WP_052754564.1	WP_224180354.1, WP_224180509.1, WP_224180447.1
OG0000387	WP_082127229.1	WP_224175797.1, WP_223976090.1
OG0000388	WP_082127242.1	WP_223988139.1, WP_224178618.1, WP_224179902.1, WP_224179899.1, WP_224179905.1
OG0000389	WP_082127368.1	WP_224174163.1
OG0000408	WP_035148869.1	WP_224179468.1
OG0000409	WP_035151637.1, WP_052754400.1, WP_035151954.1, WP_035148943.1, WP_238178375.1, WP_035154184.1, WP_052754428.1, WP_046814766.1, WP_168163446.1	WP_224177810.1
OG0000410	WP_035149079.1	WP_223983706.1, WP_224176800.1
OG0000411	WP_035158320.1, WP_035151384.1, WP_035149152.1	WP_223986452.1
OG0000412	WP_035149438.1, WP_144416039.1	WP_224178629.1
OG0000413	WP_035149445.1	WP_223973788.1, WP_223984668.1
OG0000414	WP_035149524.1	WP_224179070.1
OG0000415	WP_035149538.1	WP_026093334.1
OG0000416	WP_035149656.1	WP_224175089.1
OG0000418	WP_035149753.1	WP_224176398.1, WP_223978282.1
OG0000419	WP_035149847.1, WP_046814864.1	WP_223978633.1
OG0000420	WP_035149942.1	WP_223970044.1
OG0000421	WP_035152784.1	WP_224179352.1
OG0000421	WP_035149947.1	WP_224174782.1
OG0000422	WP_035149965.1	WP_223977978.1
OG0000423	WP_035150027.1	WP_224178439.1
OG0000424	WP_035150042.1	WP_224175916.1, WP_224178158.1
OG0000425	WP_035152361.1, WP_035150065.1	WP_223985990.1
OG0000426	WP_035150944.1	WP_224179038.1
OG0000427	WP_035150351.1	WP_224175503.1
OG0000428	WP_035150376.1	WP_224175570.1
OG0000429	WP_035150638.1	WP_224178097.1
OG0000429	WP_052754389.1	WP_224176865.1, WP_223990956.1
OG0000430	WP_035150772.1	WP_223989751.1, WP_223989806.1
OG0000431	WP_035150834.1	WP_223990082.1
OG0000432	WP_035150957.1	WP_224179705.1
OG0000433	WP_035151044.1	WP_223971563.1, WP_223971576.1
OG0000434	WP_035151064.1, WP_035151501.1	WP_224174668.1
OG0000435	WP_035151302.1	WP_223978104.1
OG0000435	WP_035154672.1	WP_224178114.1
OG0000436	WP_035151650.1	WP_223979698.1, WP_224179302.1
OG0000437	WP_046814765.1	WP_224175654.1, WP_224180247.1
OG0000438	WP_035151677.1, WP_035157267.1	WP_224175785.1
OG0000439	WP_035152056.1	WP_224175659.1
OG0000440	WP_035152059.1	WP_224175658.1, WP_224180243.1
OG0000441	WP_035152062.1	WP_224175657.1
OG0000442	WP_035152397.1, WP_035152082.1	WP_224175648.1
OG0000443	WP_035152251.1	WP_255667718.1
OG0000443	WP_035158062.1	WP_223973564.1
OG0000445	WP_035153006.1	WP_223978701.1
OG0000446	WP_035153051.1	WP_223978742.1
OG0000447	WP_035153233.1	WP_223976352.1, WP_224179400.1
OG0000448	WP_035158111.1, WP_035153357.1	WP_127087595.1
OG0000449	WP_035153429.1	WP_223975084.1, WP_224174221.1
OG0000450	WP_035153724.1	WP_223980350.1
OG0000451	WP_035153734.1	WP_224178146.1, WP_224176670.1
OG0000452	WP_035153737.1	WP_224178145.1, WP_224176700.1, WP_224178459.1
OG0000454	WP_035153924.1	WP_223988247.1
OG0000455	WP_035153980.1	WP_224176727.1, WP_223987041.1
OG0000456	WP_035153994.1	WP_224176020.1, WP_224175496.1
OG0000457	WP_035153996.1	WP_224174521.1, WP_224176643.1
OG0000457	WP_035157017.1	WP_224175289.1
OG0000458	WP_035154037.1	WP_223990015.1
OG0000459	WP_035154110.1	WP_223981936.1
OG0000460	WP_035154203.1	WP_223975714.1, WP_224175052.1
OG0000461	WP_035154206.1	WP_224177929.1
OG0000462	WP_035154211.1	WP_224176883.1, WP_224178021.1
OG0000463	WP_035154404.1	WP_223973147.1, WP_224179082.1
OG0000464	WP_035154407.1	WP_224175284.1, WP_127086176.1
OG0000465	WP_035154409.1	WP_224179081.1
OG0000466	WP_035154413.1	WP_127087716.1
OG0000467	WP_035154473.1	WP_224175245.1, WP_223975638.1
OG0000468	WP_035154554.1	WP_223980536.1
OG0000469	WP_035154566.1	WP_223978771.1, WP_224179976.1
OG0000470	WP_035154595.1	WP_224174526.1, WP_224178832.1
OG0000472	WP_035154663.1	WP_223991173.1, WP_223991171.1
OG0000473	WP_035154823.1	WP_224178728.1
OG0000474	WP_035155043.1	WP_224178258.1
OG0000475	WP_035155390.1	WP_224175207.1, WP_224175206.1
OG0000476	WP_035155391.1	WP_224177362.1
OG0000477	WP_035155407.1	WP_224179278.1, WP_224176380.1
OG0000478	WP_035157481.1	WP_224177776.1
OG0000478	WP_035155443.1	WP_224176429.1
OG0000479	WP_035155635.1	WP_224179986.1, WP_224177353.1
OG0000480	WP_035155665.1	WP_223974735.1, WP_223977034.1
OG0000481	WP_035155690.1	WP_223978179.1, WP_224175738.1, WP_224179951.1
OG0000482	WP_035156003.1	WP_223977111.1
OG0000483	WP_035156345.1	WP_073618674.1, WP_223985021.1
OG0000484	WP_035156588.1	WP_224178493.1, WP_223987760.1
OG0000485	WP_035157290.1	WP_223975958.1, WP_224180399.1
OG0000486	WP_035157784.1	WP_223985575.1, WP_224179481.1
OG0000487	WP_035157850.1	WP_223972393.1
OG0000488	WP_035157988.1	WP_223970823.1, WP_224178509.1
OG0000489	WP_035158015.1	WP_224177869.1, WP_223975972.1
OG0000490	WP_035158079.1	WP_224177750.1, WP_223984560.1
OG0000491	WP_035158124.1	WP_224177758.1, WP_224174191.1
OG0000492	WP_035158799.1	WP_223970761.1
OG0000493	WP_035159065.1	WP_224174684.1, WP_224176799.1, WP_224176787.1, WP_224175181.1
OG0000495	WP_035159514.1	WP_224179648.1, WP_224175329.1
OG0000496	WP_046814735.1	WP_223976795.1, WP_224176392.1
OG0000497	WP_046814816.1	WP_224174744.1, WP_223983890.1
OG0000498	WP_046814866.1	WP_224174826.1, WP_224178300.1, WP_224178294.1
OG0000500	WP_052754351.1	WP_223987447.1
OG0000501	WP_052754486.1	WP_224174001.1
OG0000502	WP_082127267.1	WP_224176413.1, WP_224179010.1, WP_223970820.1
OG0000503	WP_144415985.1	WP_224175492.1, WP_224175271.1
OG0000504	WP_144416036.1	WP_224175827.1
OG0000505	WP_144416084.1, WP_201782715.1	WP_224179184.1
OG0000506	WP_168163516.1	WP_224175475.1
OG0000508	WP_256388872.1	WP_224174499.1, WP_224177100.1, WP_224180200.1
OG0000554	WP_008226419.1, WP_035156706.1	WP_019491444.1
OG0000555	WP_035148948.1	WP_073621203.1
OG0000556	WP_035149096.1	WP_224177623.1, WP_223979248.1
OG0000557	WP_035153602.1	WP_224176228.1
OG0000557	WP_035149158.1	WP_224178219.1
OG0000558	WP_035149463.1	WP_223985964.1
OG0000559	WP_035149594.1	WP_223987753.1
OG0000559	WP_035160022.1	WP_019488404.1
OG0000560	WP_035149611.1	WP_223978708.1
OG0000561	WP_035149623.1	WP_224179310.1, WP_223987506.1, WP_224178322.1, WP_224179200.1
OG0000563	WP_035149766.1	WP_223973583.1
OG0000564	WP_035149799.1	WP_224176178.1, WP_224175425.1
OG0000565	WP_035149802.1	WP_224176179.1, WP_224175426.1
OG0000566	WP_035150649.1	WP_223990736.1
OG0000567	WP_035150155.1	WP_223973801.1
OG0000568	WP_035150187.1	WP_224179068.1
OG0000569	WP_035150386.1	WP_224175868.1
OG0000570	WP_035150492.1, WP_144416014.1	WP_223991302.1
OG0000571	WP_035151249.1, WP_082127345.1, WP_035150548.1	WP_223980051.1
OG0000572	WP_035150622.1	WP_224178505.1, WP_224175946.1
OG0000573	WP_035150656.1	WP_224176786.1, WP_224175017.1
OG0000574	WP_035150701.1	WP_224174752.1
OG0000575	WP_035150804.1	WP_223990852.1
OG0000576	WP_035150903.1	WP_223977670.1
OG0000577	WP_035151014.1	WP_224177755.1, WP_224177754.1, WP_224177119.1
OG0000578	WP_035151069.1	WP_223972783.1
OG0000579	WP_035151174.1	WP_223972796.1, WP_223990013.1, WP_223987561.1
OG0000580	WP_035151202.1, WP_035152749.1	WP_223988222.1
OG0000581	WP_035151337.1	WP_224180195.1, WP_224177950.1
OG0000582	WP_035151606.1	WP_224177968.1
OG0000583	WP_035153948.1, WP_035156166.1, WP_035151701.1	WP_073618175.1
OG0000584	WP_035155835.1	WP_223978699.1
OG0000585	WP_035159866.1	WP_224180219.1
OG0000585	WP_035152008.1	WP_224175678.1
OG0000586	WP_035152041.1	WP_224180234.1, WP_224175665.1
OG0000587	WP_035152051.1	WP_224178929.1, WP_224180239.1, WP_224175662.1
OG0000588	WP_035152202.1	WP_224176265.1
OG0000588	WP_035152199.1	WP_224176264.1
OG0000588	WP_035152141.1	WP_224176276.1
OG0000589	WP_035158892.1, WP_035152154.1	WP_223975104.1
OG0000590	WP_035153266.1	WP_019491741.1
OG0000590	WP_035152189.1	WP_223979489.1
OG0000592	WP_238178462.1, WP_035152496.1, WP_238178461.1	WP_224178461.1
OG0000593	WP_035152599.1	WP_224180258.1, WP_223985165.1
OG0000594	WP_035152723.1	WP_224174838.1
OG0000594	WP_035155175.1	WP_223973285.1
OG0000595	WP_035152838.1	WP_223989738.1
OG0000595	WP_238178421.1	WP_224175721.1
OG0000596	WP_035157036.1, WP_035152969.1	WP_223978219.1
OG0000597	WP_035153235.1	WP_224173978.1
OG0000598	WP_035153298.1	WP_223985784.1
OG0000599	WP_035153361.1	WP_223991481.1, WP_224174400.1
OG0000600	WP_035153411.1	WP_255667696.1
OG0000601	WP_035153636.1, WP_035157277.1	WP_223987660.1
OG0000602	WP_035153651.1	WP_224178497.1
OG0000603	WP_035153742.1	WP_127079418.1
OG0000604	WP_035153791.1	WP_223974114.1
OG0000605	WP_035153856.1	WP_224177039.1
OG0000606	WP_035154062.1	WP_224175176.1
OG0000607	WP_035154063.1	WP_224175180.1
OG0000608	WP_035154081.1	WP_223978849.1, WP_223978876.1, WP_223985897.1
OG0000609	WP_035154156.1	WP_223982473.1
OG0000610	WP_035154636.1, WP_035154208.1	WP_223975161.1
OG0000611	WP_035154257.1	WP_224178423.1
OG0000611	WP_144416080.1	WP_224175621.1
OG0000612	WP_035154266.1	WP_223976024.1
OG0000613	WP_035154393.1	WP_224176209.1
OG0000614	WP_035154527.1	WP_224174099.1, WP_223975223.1
OG0000615	WP_035154531.1	WP_224177498.1
OG0000616	WP_035154557.1	WP_224176009.1
OG0000617	WP_035154643.1	WP_223973272.1, WP_224177677.1, WP_224174625.1
OG0000618	WP_201782714.1, WP_035154649.1	WP_224178908.1
OG0000619	WP_035154664.1	WP_223980356.1, WP_224177307.1
OG0000620	WP_035154928.1	WP_223978045.1, WP_224177167.1
OG0000621	WP_035155031.1	WP_223974060.1
OG0000622	WP_052754539.1, WP_035155064.1	WP_223990052.1
OG0000623	WP_035155158.1	WP_223976568.1
OG0000624	WP_035155276.1	WP_223976629.1
OG0000626	WP_035155501.1	WP_223976347.1
OG0000627	WP_035155544.1	WP_223970660.1, WP_223972428.1
OG0000628	WP_035155564.1	WP_224174821.1
OG0000629	WP_035155734.1	WP_223978022.1
OG0000630	WP_035155861.1	WP_223981565.1
OG0000631	WP_035156007.1	WP_127080721.1
OG0000632	WP_035156017.1	WP_223977823.1
OG0000633	WP_035156056.1	WP_224177535.1
OG0000634	WP_035156064.1	WP_223973923.1, WP_223975283.1
OG0000635	WP_035159375.1	WP_224173919.1
OG0000636	WP_035156263.1	WP_223973406.1
OG0000637	WP_035156361.1	WP_019493669.1
OG0000638	WP_035156380.1	WP_223975788.1, WP_224177984.1, WP_127083710.1
OG0000639	WP_035156498.1	WP_224177832.1
OG0000640	WP_035156619.1	WP_223972549.1
OG0000641	WP_035156660.1	WP_223984644.1
OG0000642	WP_035156682.1	WP_224178030.1
OG0000643	WP_035156796.1	WP_223987721.1
OG0000644	WP_035156811.1	WP_223986197.1
OG0000645	WP_035156870.1	WP_224179903.1
OG0000646	WP_035157119.1	WP_223973264.1
OG0000647	WP_035157204.1	WP_224177269.1
OG0000648	WP_035157310.1	WP_223976008.1
OG0000649	WP_035157550.1	WP_223972399.1, WP_223990613.1
OG0000650	WP_035157721.1	WP_223977578.1, WP_223979290.1
OG0000651	WP_035157725.1	WP_223991322.1
OG0000651	WP_046814955.1	WP_223979292.1
OG0000652	WP_035157744.1	WP_019488894.1
OG0000653	WP_035157975.1	WP_224178507.1
OG0000654	WP_035158171.1	WP_224178151.1, WP_224176951.1
OG0000655	WP_035158298.1	WP_224177882.1
OG0000656	WP_035158427.1	WP_223977856.1
OG0000657	WP_035158471.1	WP_223977963.1
OG0000658	WP_052754477.1	WP_224174683.1
OG0000658	WP_035158886.1	WP_223972931.1
OG0000659	WP_035159183.1	WP_224175605.1
OG0000660	WP_035159651.1	WP_223978972.1
OG0000661	WP_035159837.1	WP_224174250.1
OG0000662	WP_046814747.1	WP_224177749.1
OG0000663	WP_201782634.1	WP_223975135.1
OG0000664	WP_052754442.1	WP_224178170.1
OG0000665	WP_082127264.1	WP_224178745.1
OG0000666	WP_082127292.1	WP_223980309.1, WP_223980326.1
OG0000667	WP_144415971.1	WP_224175043.1, WP_224174048.1
OG0000668	WP_144416044.1	WP_224178017.1, WP_223970229.1
OG0000669	WP_144416120.1	WP_223978019.1
OG0000670	WP_168163489.1	WP_224175005.1
OG0000672	WP_238178384.1	WP_224179030.1, WP_223985605.1
OG0000673	WP_238178432.1	WP_224179788.1
OG0000674	WP_238178478.1	WP_224176278.1, WP_223973124.1, WP_224176313.1, WP_224178760.1
OG0000675	WP_238178486.1	WP_223984774.1, WP_224174723.1, WP_224176493.1
OG0000676	WP_238178540.1	WP_224174139.1, WP_224178904.1
OG0000677	WP_238178546.1	WP_224175424.1, WP_223978818.1
OG0000678	WP_256388869.1	WP_224176630.1, WP_224178127.1
OG0000740	WP_035148859.1	WP_223984144.1, WP_224178737.1
OG0000741	WP_035148871.1	WP_224179469.1
OG0000742	WP_035148894.1	WP_223990369.1
OG0000743	WP_035148951.1	WP_223976002.1
OG0000744	WP_035148965.1	WP_223982172.1, WP_224175233.1
OG0000745	WP_035148967.1	WP_224175234.1, WP_224177303.1
OG0000746	WP_035148968.1	WP_224177302.1, WP_224175235.1
OG0000747	WP_035148971.1	WP_224175237.1
OG0000748	WP_046814681.1	WP_224176061.1
OG0000749	WP_035149038.1	WP_224179231.1
OG0000750	WP_035149061.1	WP_223980878.1
OG0000751	WP_035149090.1	WP_223982119.1, WP_223982093.1
OG0000752	WP_035149115.1	WP_127084720.1
OG0000753	WP_035149116.1	WP_223980012.1
OG0000754	WP_035149160.1	WP_223982978.1
OG0000755	WP_035149179.1	WP_224176679.1, WP_223977230.1
OG0000756	WP_035149269.1	WP_224176801.1
OG0000757	WP_035149294.1	WP_224174698.1
OG0000758	WP_035149310.1, WP_035155249.1	WP_224177366.1
OG0000759	WP_035149312.1	WP_224177964.1, WP_223977007.1
OG0000760	WP_035153435.1, WP_035149372.1	WP_224178828.1
OG0000761	WP_035149382.1	WP_224178699.1
OG0000762	WP_035149425.1	WP_223972744.1, WP_224176881.1
OG0000763	WP_035149451.1	WP_224179676.1, WP_223991306.1
OG0000764	WP_035149460.1	WP_224173997.1
OG0000765	WP_035149496.1	WP_223982652.1, WP_224176140.1
OG0000766	WP_035149613.1	WP_224179435.1, WP_224179245.1
OG0000767	WP_035149616.1	WP_224178373.1, WP_224177808.1
OG0000768	WP_035149652.1	WP_223990788.1
OG0000769	WP_035149685.1	WP_224179657.1
OG0000770	WP_035149750.1	WP_223973059.1
OG0000771	WP_035149756.1	WP_223977887.1
OG0000772	WP_035149774.1	WP_223972325.1
OG0000773	WP_035149878.1, WP_035157793.1	WP_223985520.1
OG0000774	WP_035149991.1	WP_224178105.1
OG0000775	WP_035150139.1	WP_224178381.1
OG0000776	WP_035150229.1	WP_224178514.1
OG0000777	WP_035150346.1	WP_223988073.1, WP_224176712.1
OG0000778	WP_035150354.1	WP_223972528.1
OG0000779	WP_035151120.1, WP_035150401.1	WP_223972809.1
OG0000780	WP_035150455.1	WP_224177965.1, WP_224177447.1
OG0000781	WP_035150482.1	WP_224173930.1
OG0000782	WP_035150517.1	WP_223971764.1, WP_223976730.1
OG0000783	WP_035150521.1	WP_224175580.1
OG0000784	WP_035150535.1	WP_224175593.1
OG0000785	WP_035150562.1	WP_224175337.1
OG0000786	WP_035150588.1	WP_224178667.1
OG0000787	WP_035150706.1, WP_035152241.1	WP_224174777.1
OG0000788	WP_035150715.1	WP_223990682.1
OG0000789	WP_052754415.1, WP_035150717.1	WP_223978095.1
OG0000790	WP_035150741.1	WP_224175110.1
OG0000791	WP_035150745.1	WP_223972801.1, WP_223984290.1
OG0000792	WP_035152768.1, WP_035150748.1	WP_223975380.1, WP_224175818.1
OG0000793	WP_035150776.1	WP_223983080.1
OG0000794	WP_035150796.1	WP_224174834.1, WP_224174835.1, WP_224177680.1
OG0000796	WP_035150860.1	WP_224176444.1
OG0000797	WP_035150862.1, WP_035152615.1	WP_019495836.1
OG0000798	WP_035150963.1	WP_223986521.1
OG0000799	WP_035157605.1, WP_035151019.1	WP_224177980.1
OG0000800	WP_035151035.1	WP_224177270.1, WP_224179614.1, WP_223977565.1
OG0000801	WP_035151046.1	WP_223971592.1
OG0000802	WP_035151084.1	WP_223971560.1
OG0000803	WP_035151177.1	WP_224175106.1, WP_224177837.1
OG0000804	WP_035151198.1	WP_224175523.1, WP_224179612.1, WP_223978176.1
OG0000805	WP_035151211.1	WP_223977952.1
OG0000806	WP_035151229.1	WP_223978298.1, WP_224178453.1
OG0000807	WP_035151256.1, WP_035158890.1	WP_224177008.1
OG0000808	WP_035151286.1	WP_224176211.1, WP_223978244.1
OG0000809	WP_035151357.1	WP_223984738.1, WP_223989645.1
OG0000810	WP_035151367.1	WP_223978062.1
OG0000811	WP_035151487.1	WP_224179224.1
OG0000812	WP_035151542.1	WP_224176587.1
OG0000813	WP_168163502.1, WP_035151629.1	WP_223976914.1
OG0000814	WP_035152003.1, WP_035151663.1	WP_224175680.1
OG0000815	WP_035151798.1	WP_224175299.1
OG0000815	WP_035153127.1, WP_035151861.1	WP_224178568.1, WP_224177993.1
OG0000816	WP_035153167.1	WP_224175317.1
OG0000816	WP_035152410.1, WP_035151850.1, WP_035151905.1	WP_224176175.1
OG0000817	WP_035152009.1	WP_224175676.1, WP_224180222.1
OG0000818	WP_035152043.1	WP_224175664.1, WP_224180235.1
OG0000819	WP_035152120.1	WP_224175859.1, WP_019493192.1, WP_223986842.1
OG0000820	WP_035152148.1, WP_144416068.1	WP_223974101.1
OG0000821	WP_035152515.1	WP_224176234.1
OG0000822	WP_035152558.1	WP_224177951.1
OG0000823	WP_035152561.1	WP_224177952.1
OG0000824	WP_035152809.1	WP_224176935.1
OG0000826	WP_035153002.1	WP_223977300.1
OG0000827	WP_035153008.1	WP_223978016.1
OG0000828	WP_035153039.1	WP_223975976.1, WP_224176960.1
OG0000829	WP_035153075.1	WP_224175197.1
OG0000830	WP_035153157.1	WP_223975217.1
OG0000831	WP_035159255.1, WP_035153200.1	WP_223985842.1
OG0000832	WP_035153217.1, WP_035159598.1	WP_224173977.1
OG0000833	WP_035153318.1	WP_224179575.1
OG0000834	WP_035153322.1	WP_223982921.1
OG0000835	WP_035153393.1, WP_082127257.1	WP_223982674.1
OG0000836	WP_035153405.1	WP_224177175.1
OG0000837	WP_035153418.1	WP_224177414.1, WP_224177412.1
OG0000838	WP_035153448.1	WP_224178826.1
OG0000839	WP_035153558.1	WP_224178149.1
OG0000840	WP_035153562.1	WP_224178147.1
OG0000841	WP_035153565.1	WP_019495286.1
OG0000842	WP_035153579.1	WP_223972904.1
OG0000843	WP_035153620.1, WP_035159337.1	WP_255666815.1
OG0000844	WP_035153630.1, WP_144416048.1	WP_223991413.1
OG0000845	WP_035153726.1	WP_224179344.1
OG0000846	WP_035153797.1	WP_223986854.1
OG0000847	WP_035153799.1	WP_223986852.1
OG0000848	WP_035153801.1	WP_223986850.1
OG0000849	WP_035153803.1	WP_224178871.1
OG0000850	WP_035153888.1	WP_223976648.1
OG0000851	WP_035153890.1	WP_223976646.1
OG0000852	WP_035154077.1	WP_223970117.1
OG0000853	WP_035154085.1	WP_224179149.1
OG0000854	WP_035154119.1	WP_224177329.1, WP_224178740.1
OG0000855	WP_035154168.1	WP_224176842.1, WP_224176663.1
OG0000856	WP_035154201.1	WP_223986858.1
OG0000857	WP_035154215.1	WP_224177222.1
OG0000858	WP_035154222.1	WP_223971040.1
OG0000859	WP_035154251.1	WP_224178538.1, WP_223991147.1
OG0000860	WP_035154333.1	WP_224178726.1
OG0000861	WP_035154387.1	WP_223978985.1
OG0000862	WP_035154462.1	WP_223975668.1
OG0000863	WP_035154486.1	WP_224175208.1, WP_223975622.1
OG0000864	WP_035154517.1	WP_224174786.1
OG0000865	WP_035154533.1	WP_224175335.1, WP_224177501.1
OG0000866	WP_035154562.1	WP_224175978.1
OG0000867	WP_035154565.1	WP_224175979.1
OG0000868	WP_035154569.1	WP_223985599.1, WP_224179289.1
OG0000869	WP_035154614.1	WP_224174695.1
OG0000870	WP_035154644.1	WP_223973273.1, WP_224177676.1
OG0000871	WP_035154660.1	WP_223972594.1
OG0000872	WP_035154665.1	WP_224178112.1
OG0000873	WP_035154683.1, WP_035156593.1	WP_223987764.1
OG0000874	WP_035154714.1	WP_224174852.1
OG0000875	WP_035154785.1	WP_223990532.1
OG0000876	WP_035154983.1, WP_052754521.1	WP_223973714.1
OG0000877	WP_035155034.1	WP_223974061.1
OG0000878	WP_035155075.1	WP_223990058.1
OG0000879	WP_035155177.1	WP_224175341.1, WP_224178339.1
OG0000880	WP_256388850.1, WP_035155188.1	WP_223987290.1
OG0000881	WP_035155210.1	WP_224174515.1, WP_223979145.1, WP_224175959.1
OG0000882	WP_035155228.1	WP_224175561.1
OG0000883	WP_035155242.1	WP_223979894.1, WP_223973513.1
OG0000884	WP_035155247.1	WP_224175807.1
OG0000884	WP_082127308.1	WP_224178024.1
OG0000885	WP_052754513.1, WP_035155280.1	WP_223976626.1
OG0000886	WP_035155311.1	WP_255667726.1, WP_223981665.1
OG0000887	WP_035155333.1	WP_223985691.1
OG0000888	WP_035157861.1, WP_035155356.1	WP_224176393.1
OG0000889	WP_035155366.1	WP_224174920.1, WP_224180179.1, WP_224176916.1
OG0000890	WP_035155438.1	WP_223986069.1
OG0000891	WP_035155454.1	WP_127080849.1
OG0000892	WP_035155552.1	WP_224174260.1, WP_224174817.1
OG0000893	WP_035155584.1	WP_223978870.1
OG0000894	WP_035155685.1	WP_224179949.1, WP_224175736.1, WP_223978181.1
OG0000895	WP_035155692.1	WP_224179952.1, WP_224175739.1, WP_224175538.1
OG0000896	WP_035155768.1	WP_127081326.1
OG0000897	WP_035155788.1	WP_223974016.1, WP_223979631.1
OG0000898	WP_035155870.1	WP_223986824.1, WP_224176337.1
OG0000899	WP_035155874.1	WP_127078199.1
OG0000900	WP_035155998.1	WP_224176555.1
OG0000901	WP_035156026.1	WP_224174986.1, WP_223977822.1
OG0000902	WP_035156178.1	WP_223985777.1
OG0000903	WP_035156206.1	WP_019494768.1, WP_224178452.1
OG0000904	WP_035156239.1	WP_223987217.1
OG0000905	WP_035156279.1	WP_224177663.1
OG0000906	WP_035156364.1	WP_223975824.1
OG0000907	WP_035156396.1	WP_224179236.1
OG0000908	WP_035156414.1, WP_035157254.1	WP_223970985.1
OG0000909	WP_035156423.1	WP_223973811.1
OG0000910	WP_035156428.1	WP_255666824.1
OG0000911	WP_035156487.1	WP_223989496.1, WP_224180022.1
OG0000912	WP_035156600.1	WP_223987775.1, WP_224174630.1
OG0000913	WP_035156658.1	WP_223990393.1, WP_224174385.1, WP_223990395.1, WP_223974039.1
OG0000914	WP_035156773.1	WP_223978118.1, WP_223990136.1
OG0000915	WP_035156779.1	WP_223977310.1
OG0000916	WP_035156850.1	WP_223976400.1
OG0000917	WP_035157044.1, WP_035156866.1	WP_223977077.1
OG0000918	WP_035156871.1	WP_223989300.1, WP_223989804.1
OG0000919	WP_035156873.1	WP_224176611.1
OG0000920	WP_035156896.1	WP_223976489.1
OG0000921	WP_035156901.1	WP_223983677.1
OG0000922	WP_035156917.1	WP_127085105.1
OG0000923	WP_035156959.1	WP_223989414.1, WP_224175411.1
OG0000924	WP_035157021.1	WP_223978086.1
OG0000925	WP_035157067.1	WP_224175936.1, WP_223977265.1
OG0000926	WP_035157078.1	WP_223978907.1
OG0000927	WP_035157221.1	WP_223979453.1, WP_224174692.1
OG0000928	WP_035157235.1, WP_238178452.1	WP_073620774.1
OG0000929	WP_035157264.1	WP_223972530.1
OG0000930	WP_035157284.1, WP_238178503.1	WP_223977089.1
OG0000931	WP_035157287.1	WP_224177874.1
OG0000932	WP_035157837.1, WP_035157351.1	WP_223991157.1
OG0000933	WP_035157456.1	WP_224179538.1
OG0000934	WP_035157464.1	WP_127079560.1
OG0000935	WP_035157534.1	WP_223990696.1, WP_223972314.1
OG0000936	WP_035157549.1	WP_223990611.1, WP_224176824.1
OG0000937	WP_035157570.1	WP_223970962.1, WP_224175230.1
OG0000938	WP_035157654.1	WP_224177314.1
OG0000939	WP_035157687.1	WP_019493182.1
OG0000940	WP_035157692.1	WP_224179392.1, WP_224179580.1
OG0000941	WP_035157694.1	WP_255666542.1, WP_223983160.1
OG0000942	WP_035157723.1	WP_223979288.1, WP_223977580.1
OG0000943	WP_035157727.1	WP_223985568.1
OG0000945	WP_035157787.1	WP_223974172.1, WP_073624118.1
OG0000946	WP_035157806.1	WP_223989700.1
OG0000947	WP_035157973.1	WP_223970868.1
OG0000948	WP_035158000.1	WP_255666549.1, WP_223970172.1
OG0000949	WP_035158057.1	WP_224174618.1
OG0000950	WP_035158070.1	WP_223975022.1
OG0000951	WP_035158073.1	WP_223976638.1
OG0000952	WP_035159828.1	WP_224179726.1
OG0000953	WP_035158119.1	WP_224175248.1
OG0000954	WP_035158126.1	WP_224176368.1
OG0000955	WP_035158141.1	WP_224177954.1
OG0000956	WP_035158147.1	WP_224174620.1, WP_224175205.1
OG0000957	WP_035158148.1	WP_223991473.1
OG0000958	WP_035158160.1, WP_082127306.1	WP_223985978.1
OG0000959	WP_035158191.1	WP_223983454.1, WP_224175734.1
OG0000960	WP_035158210.1	WP_224177122.1
OG0000961	WP_035158216.1	WP_224175473.1, WP_223978142.1
OG0000962	WP_035158238.1	WP_223973023.1, WP_224177304.1
OG0000963	WP_035158262.1	WP_224177800.1, WP_223987442.1
OG0000964	WP_035158268.1	WP_224176726.1, WP_224178687.1
OG0000965	WP_035158270.1	WP_224176675.1
